EmbeddingSimilarity,nll-test,Bleu-2,Bleu-3,Bleu-4,Bleu-5,
1,-0.013570806163025506,1.3840863,0.736820461534755,0.43958909442892263,0.21676682470636463,0.12222180973403293,
11,-0.010580696407145878,0.83983904,0.8098922572888155,0.6289807170711949,0.44328317946555473,0.2907123221443662,
21,-0.010479747082618163,0.7428272,0.8244451312376103,0.6580244722982069,0.4743499974773367,0.32036675077949484,
31,-0.01381484378764351,0.69608444,0.7824063346238201,0.6082229881045362,0.4294132706111088,0.2894442623756091,
41,-0.010859821225438044,0.6624312,0.8107045698910361,0.6398461337395599,0.4611714295230307,0.3185438830727455,
51,-0.012174008351557313,0.64860547,0.8147542879115804,0.6573895038248287,0.48898136949470394,0.3438183554261124,
61,-0.011787112608306335,0.6313127,0.774698068290384,0.6069629081005633,0.43790458238358254,0.3061623571947733,
71,-0.021345518879382498,0.61520094,0.7296930656629298,0.5562039591692162,0.388761769809726,0.26499570467745376,
81,-0.010556687665497345,0.61695975,0.7963156933702791,0.6292587323004699,0.4461566023586799,0.31281952688122233,
82,-0.010372320626865961,0.5955284,0.8293179638118917,0.6813973589804189,0.5036928616546584,0.36224935503501,
83,-0.01060122835364726,0.59035206,0.8237112217682279,0.6727461539865287,0.4994432148448375,0.3610228943190108,
84,-0.01054626657008393,0.5884114,0.827047959190173,0.6777997822894984,0.49748318472712966,0.3538777323034407,
85,-0.010620033261991041,0.5888203,0.830251711815975,0.6795389363165473,0.5032221721611493,0.35842397921523894,
86,-0.0105064113598649,0.5875964,0.8161855922943089,0.6557071728137871,0.4771363099842864,0.33578217571536,
87,-0.010520613391753437,0.58622944,0.8099133167006153,0.6443516155001452,0.46940479687759706,0.3312083012882909,
88,-0.010663014468479207,0.5862894,0.8090792835657443,0.6466984482628734,0.47390616701079225,0.33521818081584065,
89,-0.010719841308602577,0.5840247,0.7980109481510176,0.6317153442468803,0.4601628901470943,0.32106444770882714,
90,-0.01138032993854421,0.5836657,0.7978223260400878,0.6321247156426834,0.461092069513885,0.31959505592530935,
