EmbeddingSimilarity,nll-test,Bleu-2,Bleu-3,Bleu-4,Bleu-5,
1,-0.0171984267805979,1.5058732,0.46276031862786127,0.19450684384352884,0.10406327755381535,0.07391683521809135,
11,-0.011232054720729114,0.9617909,0.7122929770701497,0.4646257502614266,0.2717246844500445,0.16372537345840615,
21,-0.01061600714377047,0.85055053,0.7335612731452825,0.5010208810026295,0.310759158893986,0.19381368478272434,
31,-0.010335790365700894,0.81511813,0.7298503821876868,0.49053778993310093,0.30194354846979327,0.18779521096723978,
41,-0.010469784563005397,0.7835483,0.7323170317256277,0.49928645356915935,0.31002772691862884,0.1939525690514281,
51,-0.01050753215229668,0.76596737,0.734260385641535,0.5018263139906771,0.3129946735663446,0.19730895596959114,
61,-0.010477545848871247,0.7551874,0.7334310733302524,0.5019477316591536,0.3134543740429929,0.19681032180702054,
71,-0.010742338571121092,0.7527873,0.7360962360947974,0.5044868805423919,0.31379870540894916,0.19701482867579434,
81,-0.010454400636126772,0.7481487,0.7359856495807937,0.5047587311134297,0.3131153364072049,0.19428082422184942,
91,-0.011554958010054137,0.8061162,0.7585882900641726,0.5312888259883242,0.33048459587174267,0.20114865676514898,
101,-0.013467537769949833,0.89001817,0.7671167389341473,0.5396022943918799,0.3315243221992898,0.19792373541726985,
111,-0.01379078850910092,0.9454994,0.781733294305543,0.5571869192384984,0.3417328688688966,0.2014575823832813,
121,-0.013427388779350891,0.9729933,0.7882063739826233,0.5604666392751799,0.3404414288945555,0.2015390402256631,
131,-0.013017969407966522,1.0020509,0.7833099677575938,0.5510461733798617,0.33296308326556395,0.19609179092706028,
141,-0.012912255399227515,1.0225481,0.7683591189593125,0.5286664851933358,0.31263961399202345,0.1816664650196324,
151,-0.013148366322226,1.0234072,0.7616098330848101,0.5087809520807857,0.2938715910698219,0.17232672187461862,
161,-0.01405330294876457,1.0508274,0.7463454627181805,0.4854338151437663,0.275527559979982,0.16173066526569563,
171,-0.014414282937278427,1.0792445,0.7449020648146929,0.4703571903262153,0.2682693747365041,0.1626151292133943,
180,-0.014378560818878847,1.0990838,0.7372272066955509,0.448159296363647,0.2525420817893008,0.15542322668881525,
