nll-oracle,nll-test,EmbeddingSimilarity,
1,10.765928,7.5998254,-0.21516981106488003,
6,10.146871,6.9512925,-0.20851377265658635,
11,9.983926,6.6412454,-0.21202493152436128,
16,9.934686,6.509852,-0.20673420278754034,
21,9.941042,6.4279666,-0.20869321728543938,
26,9.962845,6.3535557,-0.21074519882185913,
31,9.930201,6.277755,-0.2119102113491304,
36,9.932071,6.2320313,-0.20967529349698513,
41,9.930665,6.1934934,-0.21352495568650626,
46,9.939285,6.1566615,-0.21035493901947455,
51,9.930256,6.138681,-0.20807549893263338,
56,9.931242,6.113387,-0.2096127599452882,
61,9.934996,6.0836825,-0.20891186577785112,
66,9.926655,6.066725,-0.21042271841491575,
71,9.90995,6.050921,-0.21257881571362044,
76,9.905219,6.044719,-0.2114385447115262,
81,9.884234,6.0307446,-0.2102117578954227,
86,9.739446,6.0696106,-0.20331908058410844,
91,9.6546955,6.1254077,-0.19706418853076046,
96,9.592258,6.178001,-0.1971540068479067,
101,9.566394,6.2274833,-0.19306017975656276,
106,9.560259,6.2708635,-0.19704878448118265,
111,9.5271435,6.3118906,-0.1962614633459833,
116,9.517645,6.3526416,-0.19712508604354637,
121,9.486771,6.390966,-0.19294458912890805,
126,9.463565,6.4292088,-0.19356542641286942,
131,9.451634,6.468185,-0.19188535751420438,
136,9.431359,6.5030603,-0.19281216096054327,
141,9.43417,6.5356054,-0.19349995902900094,
146,9.416804,6.5594273,-0.19523643078569,
151,9.406477,6.5763583,-0.19313503210012395,
156,9.407292,6.5920925,-0.19146004139712064,
161,9.426384,6.6115866,-0.19162752677093853,
166,9.444426,6.632999,-0.19804249941685229,
171,9.468671,6.6624475,-0.19548661700495423,
176,9.458674,6.6876745,-0.1927772081687539,
180,9.456985,6.7074366,-0.1931883577659718,
