epochs, EmbeddingSimilarity,nll-test,Bleu-2,Bleu-3,Bleu-4,Bleu-5,
1,-0.01666716958386865,1.5076375,0.46345920210559316,0.1856011041085018,0.09994588493217826,0.07155144946769099,
11,-0.010919941885489257,0.9431301,0.7223413563550927,0.4775020751262325,0.28448398213920684,0.17328589357742122,
21,-0.01068377248004919,0.8356613,0.7320960900721197,0.4946156761459055,0.30028150249820806,0.18472475426150675,
31,-0.01050908382609649,0.7929929,0.7381974922170136,0.5058280856532723,0.3120619230371382,0.1931506753516621,
41,-0.010610897137558058,0.77290684,0.7379984079176481,0.5061550852077539,0.31301970997211725,0.19345047591162107,
51,-0.010260041661641284,0.75547194,0.7362786308353749,0.5019518361325639,0.312025191413161,0.19547440373121713,
61,-0.01037953202622072,0.7466102,0.7374831094741255,0.5044938945624033,0.31185217132846704,0.19396643637335206,
71,-0.010515263029763309,0.73792917,0.7378003943542997,0.503982380782707,0.31085952543158857,0.19290229238812828,
81,-0.010456985077228649,0.73740417,0.7412262303484355,0.5094038938548012,0.3164233777812803,0.19497336760411121,
91,-0.010215569689912926,0.8314256,0.7960596769895509,0.579033878975153,0.37720945935200906,0.23611859883136946,
101,-0.011150967209181576,0.8568378,0.7933813826929779,0.566843087842012,0.36373643973155434,0.225238789550812,
111,-0.012498179826148995,0.87479246,0.7781003321449433,0.5448083150832664,0.33705028670102516,0.20442882614936064,
121,-0.014460687212656547,0.9023622,0.7655220345661798,0.5209657780704866,0.3115694174531745,0.18747061869608278,
131,-0.014591084119395163,0.9192384,0.7545839660137132,0.5014213336418772,0.2933855527588899,0.17582479952010072,
141,-0.013905982990507503,0.9147058,0.7604194038471891,0.515550264396196,0.30915649717991595,0.18731710652988065,
151,-0.014034493341967845,0.9200858,0.7407004273130512,0.4953788834929405,0.2985369585410236,0.18184747035869753,
161,-0.014154780596598877,0.9337105,0.7215684614480654,0.47381904768147054,0.2821534066495185,0.17220183839426648,
171,-0.014081783545679408,0.9469122,0.7333716125991651,0.49005839268311957,0.29396812178174625,0.1805008244291618,
180,-0.01376211478461303,0.9794269,0.7468344670164873,0.5114309955477733,0.311350973203722,0.19079552425803592,
