epochs, nll-oracle,nll-test,EmbeddingSimilarity,
1,10.772453,7.5998254,-0.21515439068079228,
6,10.149242,6.9512925,-0.20973321619165336,
11,9.9987135,6.6412454,-0.21105212535468348,
16,9.92921,6.509852,-0.21136299801629546,
21,9.927516,6.4279666,-0.2117197049061898,
26,9.956191,6.3535557,-0.2142922953529992,
31,9.940171,6.277755,-0.2077965067782408,
36,9.942616,6.2320313,-0.2132206133966555,
41,9.929036,6.1934934,-0.2115002642672586,
46,9.938667,6.1566615,-0.21029138643113965,
51,9.928528,6.138681,-0.2129855873070704,
56,9.9114065,6.113387,-0.21003100741451539,
61,9.90846,6.0836825,-0.21147179283753872,
66,9.921512,6.066725,-0.21545220246612004,
71,9.8923,6.050921,-0.20855587879553772,
76,9.920859,6.044719,-0.21134889226277875,
81,9.866386,6.029943,-0.20989048758254614,
86,9.761758,6.0676,-0.20847448393885118,
91,9.706033,6.1165566,-0.20541111732241277,
96,9.680317,6.1671214,-0.19995757014873394,
101,9.647685,6.2158313,-0.20083837552510672,
106,9.626358,6.2594543,-0.2005121793750519,
111,9.629922,6.299664,-0.19588382813047553,
116,9.619059,6.3373666,-0.1997946251244855,
121,9.6175165,6.3727827,-0.2017441281491655,
126,9.615405,6.405708,-0.19872650828151006,
131,9.61548,6.4336777,-0.20199461612002556,
136,9.614103,6.458623,-0.20121752780554636,
141,9.602326,6.483689,-0.2017029930461822,
146,9.615286,6.5069346,-0.1986231163573218,
151,9.582803,6.529463,-0.20167848728493784,
156,9.5653715,6.554682,-0.20176396173418037,
161,9.5392,6.5797024,-0.20429565704857452,
166,9.553008,6.5976133,-0.20590153252932097,
171,9.568475,6.611882,-0.20670882338260269,
176,9.584266,6.627972,-0.2051824370102091,
180,9.606199,6.6421933,-0.20620995894606695,
